,,Notes,Aisa Minh,Masao Sy,Leta Narvaez,Victoria Swift,Solomon Renfield,Justyn Attlee,Grizzly Saeki,Akemi Kobayashi,Sassoon,Ezel Sinai,Arvin Sanjrani,Knox Mandaba
,Mission_Dam_Destroyed,After the completed animation of the dam drowning things,"""W-woah... Yep, the dam just went down."", ""My readings are spiking, we've finished off the dam!""","""I suppose if they weren't using it.."", ""I hope Archive know what they're doing with this river.""","""That river should block the Vek, this was a pretty good decision."", ""Dam went down, hold your ground!""","""Looks like our calculations were accurate - the river has worked perfectly."", ""The river's been released, according to plan. Excellent."",","""The torrent of water that dam, or the lack thereof, has created.."", ""Impressive work. Kern would love to form rivers this quickly."",","""That's a surprisingly deep river. It should wash the Vek away with ease!"", ""About time I bathed my mech off, it's covered in Vek guts.""","""Excellent. Make use of this river."",""Battle's not over yet, start pushing these Vek in.""","""Dam's destroyed. Make good use of the water."",""This stream will wash any Vek away. Get to work!"",""Great, dam's destroyed. Focus on the Vek!""","""That's a surprisingly deep river. It should wash the Vek away with ease!"", ""Shame I can't bathe my mech off, it's covered in Vek guts.""","""A natural barrier like this will work wonders."",""If we're smart, we can weaponize this while the Vek are still around.""","""We'll find out if Alms knew what he was doing or not later, focus on the Vek."",""Downstream might be a mess, we'll find out soon enough.""","""If you stand in front of the dam it'll wash your mech off for free."",""Let's use this new river to our advantage!"",""This should keep one side safe from the Vek."""
,Mission_Satellite_Destroyed,"Triggers only when the first satellite is destroyed ","""One of the satellites was destroyed."", ""Lost the satellite's heat signature, looks like it's been wrecked.""","""Gah, we lost one of the rockets."", ""We lost a satellite, keep the other one up.""","""We lost one of the satellites, hope Archive's fine with just one."", ""First satellite was lost, we need to keep the second in operation.""","""We've lost a satellite. Such a waste of resources."", ""A critical source of information, lost.""","""A great shame, for the old world, and for us."", ""Perhaps, if we.. no, we cannot salvage the payload nor the rocket.""","""The satellite was compromised. That was probably important..."", ""No way a pile of scrap's gonna make it out of orbit.""","""Launch site is unsalvagable."",""Satellite's FUBAR."",""It's not launching in this state.""","""Maybe we can salvage the launch site, but those resources would have been vital."",""I don't think we'll have this satellite operational any time soon."",""We've failed to protect this satellite. There goes the data.""","""The satellite was compromised. That was probably important..."", ""No way a pile of scrap's gonna make it out of orbit.""","""Our gift to the stars, put to waste."",""Ah, we lost a satellite. Unfortunate.""","""The amount we could have learned from that satellite..."",""An incredible loss, that satellite was. Would have given us so much."",""We've squandered this Old Earth relic. At least we can still secure the region.""","""We lost one of the satellites, hope Archive's fine with just one."", ""First satellite was lost, we need to keep the second in operation."""
,Mission_Satellite_Imminent,"Triggers when the Satellite queues its launch (the turn before it actually launches) -- It can trigger for either satellite, or both, it's randomized.","""That satellite's heating up. I think it's about to take off."", ""Judging by my scans, the satellite should be off the ground soon."",","""Hold the line, the satellite is almost off."", ""Watch out, the satellite is nearly off the ground."",","""Satellite's primed for launch, distance yourselves."", ""If you stand next to that satellite, it'll vaporize you. Stand clear!"",","""Stay away from the launch pad, or your mech will be irreparably damaged."", ""Staying next to the satellite during launch will be fatal.""","""Protect the rocket, but keep your distance. It's about to launch!"", ""The rocket is readying for launch!"",","""We need to buy that satellite just a little more time."", ""Take off, already. We can't hold back the Vek forever!"", ""Stay back from the rocket, don't let the blast hit you.""","""Stay clear, your mech won't withstand the blast."",""We can use the satellite's launch to our advantage."",""Our query is about to take off.""","""Avoid the satellite's launch radius."",""Now that the satellite's taking off, let's see if we can put it to use against the Vek.""","""We need to buy that satellite just a little more time."", ""Take off, already. We can't hold back the Vek forever!"", ""Stay back from the rocket, don't let the blast hit you.""","""Think we could steer a Vek towards that satellite?"",""One of the satellites is initiating take-off, pay attention.""","""The heat that satellite's giving off would fry anything in the way."",""I believe that satellite's about to lift off. Stand clear.""","""Standing next to a launch site isn't fun, trust me on that one."",""Hey, let's try and get the Vek front row seats, shall we?"",""I think the Vek would like to see the launch a little more clearly!"""
,Mission_Satellite_Launch,"Triggers when the satellite actually takes off, can trigger for either or both","""Those were some intense vibrations. Hope it took off successfully."", ""I think I just heard the satellite take off. Definitely not something you get to say every day."",","""Satellite's off. We can rest a little."", ""There goes a satellite. Amazing work, Archive."",","""Sensors are telling me the launch was successful."", ""Good, that satellite will be in orbit soon.""","""The team on that rocket did better than I thought."", ""Excellent, that satellite will provide critical data.""","""Perhaps some day, I'll be able to test the impact of low gravity on temporal manipulations."", ""A miracle they've managed to restore the rocket, and one I'm ecstatic to see.""","""Right into orbit.. I wish I could eject all my problems into space too."", ""Up in the air, and out of the world. Somewhere it doesn't have to worry about Vek.""","""I'm sure Archive will put it to good use."",""We should take any resource we can get."",""The data that provides will very valuable."",""Satellite took off.""","""Let's see if it really was as useful as Alms thought it'd be."",""Up in space, at least we won't have to worry about protecting it."",""Not my kind of rocket, but it'll still come in handy.""","""Right into orbit.. I wish I could eject all my problems into space too."", ""Up in the air, and out of the world. Somewhere it doesn't have to worry about Vek.""","""I can't imagine how much data that satellite will be providing #corp."",""We'd better hope they share the results, that machinery is incredible.""","""For a corporation that works on old things, they never cease to amaze me."",""I'll have to request the data from Alms myself.""","""Used to dream of going to space. Guess this is as close as I'll get."",""Up and away!"",""Maybe if we make it through this mess I'll live to service one of these."""
,Mission_Mines_Vek,Vek Killed by Mine,"""That was quite an explosion. Did a Vek step on a mine?"", ""Vek just vanished on a mine's position. Nice.""","""A mine blew up a Vek, my praises to whoever laid that."", ""Vek just died to a mine, watch your footing.""","""Vek just blew up on a mine."", ""Ha, guess your hormones can't tell you what those are."", ""Vek just stepped on a mine, let's keep them coming!""","""Old-fashioned mines. Barbaric, a fitting measure against the Vek."", ""Vek was blown apart by a proximity mine."",","""A tremendous explosion. I wonder what purpose Old Earth had for mines this lethal."", ""Surely Old Earth didn't have foes that required mines this large.."",","""One wrong step, and that Vek was just obliterated."", ""I couldn't be more thankful we can recognize landmines and the Vek can't."", ""Keep coming, Vek, the more mines you step on the less work we have to do.""","""Mine just wiped out that Vek."",""One less mine for us to utilize."",""Feel free to position yourselves there now.""","""Don't ask what we were keeping these around for."",""Large hole where the Vek once was. These mines never disappoint.""","""One wrong step, and that Vek was just obliterated."", ""I couldn't be more thankful we can recognize landmines and the Vek can't."", ""Keep coming, Vek, the more mines you step on the less work we have to do.""","""Torn to bits by the savagery of the Old Earth."",""Nothing short of amazing, what those mines can do.""","""Don't end up like that Vek, watch your step."",""Let's see if we can clear out the rest of these Vek with those mines.""","""Tripping on one of those is really expensive.. and also deadly, yeah."",""Well, we had to use them for something."",""Better under a Vek than collecting dust in a warehouse."""
,,,,,,,,,,,,,,
RST,,,,,,,,,,,,,,
,Mission_Terraform_Destroyed,If the terraformer is destroyed,"""Terraformer's hit, it's.. Yep, terraformer's down."", ""The terraformer was just.. obliterated. It's not gonna work any time soon.""","""We lost the Terraformer, we could have gotten more out of it..."", ""Terraformer went down, Kern isn't gonna be happy about this.""","""The terraformer was wrecked, damn."", ""Lost a piece of R.S.T. tech, shame.""","""The R.S.T. will have to do without."", ""The terraformer wouldn't have done much from that position regardless.""","""A shame to see the terraformer destroyed. I knew the designer personally."", ""A marvelous piece of technology, put to waste.""","""I didn't think the terraformer was finished, but now it definitely won't be putting in work."", ""I don't think that's part of normal operation."",","""Terraformer was destroyed."",""We lost the terraformer.""","""Looks like we won't be weaponizing that terraformer any further."",""The utility that terraformer provided was invaluable, now it's gone.""","""I didn't think the terraformer was finished, but now it definitely won't be putting in work."", ""I don't think that's part of normal operation."",","""I'm afraid we've lost this region's terraformer."",""Didn't manage to keep the terraformer in one piece...""","""As much as I appreciate any attempt to delay the R.S.T., they won't be pleased."",""I hope the operator escaped, he didn't deserve what that machine got.""","""We should have guarded the terraformer more closely."",""Looks like it couldn't terraform it's way out of this one.."""
,Mission_Terraform_Attacks,"After the player uses the terraformer (not necessarily the first, random chance)  This will obey the same rules as other barks, where something like a pilot death will take priority.","""That was a huge tremor! Was that the terraformer?"", ""Is that seismic activity, or did the terraformer go off?."",","""Keep your distance from the Terraformer."", ""Terraformer just started another cycle, make sure it stays active."",","""Let's try and push some more bugs into it next time."", ""There goes the terrain. This is pretty impressive."",","""Stay away from the terraformer, push the Vek into its radius."", ""If you position yourself near that machine, you'll be buried alive.""","""Fascinating! A marvelous piece of technology!"", ""I've seen it in action many times, but it never grows old."",","""That's a huge mound of sand!"", ""It's a wonder this island stays in one piece, with everything they do to it.""","""That'll put any nearby Vek to a halt."",""Use the terraformed land to smoke out the Vek.""","""It just looks like a lot of sand, but these terraformers really do a number of the Vek."",""You'd be surprised how lethal these terraformers can be.""","""That's a huge mound of sand!"", ""It's a wonder this island stays in one piece, with everything they do to it.""","""Terraformer's undergoing another cycle."",""Stay clear of the terraformer, or it'll have dug your grave.""","""Make sure you're not too close to the terraformer."",""There it goes, destroying more perfectly good land.""","""That much sand could tear anything to bits.."",""That thing shifts so much ground.. Watch out!"""
,Mission_Cataclysm_Falling,Triggers when ground is falling during either RST mission with falling ground,"""E-earthquake. I need to get out of here before I lose my surroundings."", ""That's seismic activity... Yep, you'd better get a move on."",","""The ground's tearing up, make sure the bugs are over it and not you."", ""Seismic activity on my sensors, don't fall down there."",","""Watch where you step, my sensors are registering some serious activity."", ""If you fall down there, you're gone. Push the Vek in instead."", ""Stay clear of any seismic activity, things could get bad.""","""Sensors are picking up seismic activity, stay on guard."", ""Chasms are forming. If you fall, we won't be able to recover you.""","""Stand clear. The quakes will subside, but make sure you're around to see that happen."", ""Position yourself wisely. Don't make these quakes a threat, use them against the Vek..""","""Oh man.. one wrong step, and we could fall straight in."", ""If that chasm opens up in the wrong spot.. at the wrong time...""","""Avoid the fault lines."", ""Stay clear of the quakes.""","""Seismic activity. Stand clear or fall to your death."",""Stay clear of the fault lines, you won't want to fall down there.""","""Oh man.. one wrong step, and we could fall straight in."", ""If that chasm opens up in the wrong spot.. at the wrong time...""","""You're not coming back up if you fall down one of those chasms."",""Avoid those forming chasms, or be eaten alive by the ground.""","""The repercussions R.S.T.'s operation, tearing up the earth below."",""Stand clear of the forming crevices, or they'll swallow you whole.""","""More holes for us to push the Vek into!"",""Getting seismic activity, another fault line is going critical!"""
,Mission_Lightning_Strike_Vek,"If lightning hits a Vek ","""I can't imagine the smell of fried Vek is particularly pleasant"", ""Don't end up like that Vek. Watch your step.""","""Woah, that Vek just got fried by lightning."", ""Turns out nature is a pretty great bug zapper.""","""If only we could harness that power, I could put it to work."", ""Keep coming, Vek. We're waiting, and so is the storm."",","""It appears the Vek aren't used to dealing with averse weather conditions."", ""Continue using the lightning against the Vek. The more practice here, the better."",","""It appears the Vek cannot handle high voltage. Not a huge surprise."", ""Amazing how much damage that lightning was able to do to the Vek, despite its size.. or perhaps due to it."", ""Fascinating. I should work out how to put lightning to better use."",","""We'd better stay clear of that lightning as well."", ""Try not to end up like that Vek. Let the Vek attract the lightning instead."",","""Vek electrocuted by the storm."",""Lightning took out that Vek.""","""That's one way to take out a Vek."",""Would be better explicitly weaponized. I'd expect Kern to have gotten around to it sooner.""","""We'd better stay clear of that lightning as well."", ""Try not to end up like that Vek. Let the Vek attract the lightning instead."",","""A blow delivered from the heavens, you could say."",""Excellent use of that lightning. That Vek is no more.""","""..Not natural at all. Good to see it put to use, at least."",""We were more responsible for that than you'd think."",""Incredible weather patterns, put to good use.""","""Zap! There goes a Vek."",""Fried bug, coming up!"",""Wouldn't want to be standing where that Vek.. was."""
,Mission_Solar_Destroyed,Solar panel destroyed,"""Our grid.. The solar farm was hit."", ""That solar farm just got destroyed. That's a huge deficit, not good."",","""That's a ton of energy, a ton of lives, lost to the Vek."", ""We let the solar farm get destroyed, and with it..."",","""Commander, we lost the solar farm."", ""Solar farm was destroyed. Pull it together, #squad!""","""The damage dealt to the solar farm is irreversible."", ""The Vek have gone straight for our lifeline, with success.""","""The materials for those are rare and limited. Now, they've been put to waste."", ""I'm not sure we'll be able to recover from the impact that had on our Grid.""","""That was an entire farm of solar panels, destroyed."", ""We weren't able to protect the solar farm..""","""Solar power array was compromised."",""Our solar won't recover from that easily.""","""A huge source of energy, destroyed."",""Those arrays made up a sizable portion of R.S.T.'s energy. We'll have to make up for this somehow.""","""That was an entire farm of solar panels, destroyed."", ""We weren't able to protect the solar farm..""","""The resources it'll take to repair the farm make it out of the question."",""Those farmers should have evacuated, we couldn't have guaranteed their safety.""","""Clean energy put to waste. Shouldn't have let that happen."",""This region will be short of power without that solar farm.""","""Couldn't have at least fried some Vek on those panels first?"",""Solar farm's a goner, not good at all."""
*,Mission_Force_Reminder,Remind player to destroy the mountains,"""Remember our orders, we need to bring those mountains down before the Vek use it."", ""Take down that mountain, or the Vek'll make us regret leaving it up.""","""We need to take down those mountains now, before the Vek burrow in it."", ""Take that mountain down before it's too late!""","""Those mountains are a priority, if we don't level them the Vek'll burrow in there."", ""Take down those mountains along with the Vek!"", ""Even if it means losing lives, we need to level those mountains."",","""Direct your fire towards those mountains. They serve no strategic purpose."", ""#squad, focus the mountains. We cannot allow the Vek to utilize them.""","""These mountains have no strategic, civil nor environmental value, except to the Vek. Make sure they go down."", ""I'd like more room for the R.S.T.'s experiments, and less room for the Vek to burrow."", ""Ensure these mountains are destroyed. This is for our progress and for our safety."",","""We need to blow up those mountains, now, before the Vek start using them."", ""I guess if the terraformers can't destroy the mountains fast enough, we get the job instead."", ""Get those mountains down, fast, before we're out of time!""","""Take down these mountains, before the Vek use them."",""Destroy these mountains before they become a hazard."",""It's vital that we tear down these mountains first.""","""If those mountains are left standing, the Vek will take back this region."",""We have to prioritize those mountains, before the Vek get inside of them and make things more difficult."",""Take down those mountains post-haste. This region depends on it.""","""We need to blow up those mountains, now, before the Vek start using them."", ""I guess if the terraformers can't destroy the mountains fast enough, we get the job instead."", ""Get those mountains down, fast, before we're out of time!""","""Those mountains need to go, #squad. Keep that in mind."",""It's necessary we take those mountains down to keep the region secured.""","""As much as I hate to do it, those mountains need to go."",""Remember our orders, we need those mountains torn down.""","""Fire on those mountains, before we get a Vek problem coming from them!"",""This region won't be in a good place if we leave those mountains standing."""
Pinnacle,,,,,,,,,,,,,,
,Mission_Freeze_Mines_Vek,Vek Frozen by Mine. This takes priority over all other Freeze conditions.,"""Vek just stopped moving. Did it step on a cryo-mine?"", ""Registering a sudden temperature drop at this Vek's position. I think it triggered a cryo-mine.""","""I didn't expect the Vek to freeze that quickly."", ""Vek's totally encased in ice, keep it there.""","""The Vek's frozen. A normal mine would have been better."", ""The Vek's still alive, but it won't go anywhere anytime soon."", ""Keep letting the Vek trigger those mines."",","""An explosive mine would be more resolute, but this will serve us fine."", ""That Vek won't get out any time soon, not without external assistance."",","""The force from that mine should have obliterated the Vek. To preserve it instead takes some serious tech."", ""A cold prison of the Vek's own doing. Let it stay.""","""Vek won't get out of that mine's for a long while."", ""Try not to end up in a similar fate, unless you think you can use that mine's ice as protection.""","""Ice mine froze that Vek solid."",""Vek's iced up from a mine.""","""I prefer traditional mines, but as long as they both take the Vek out.."",""Better for it to be frozen than to threaten us.""","""Vek won't get out of that mine's for a long while."", ""Try not to end up in a similar fate, unless you think you can use that mine's ice as protection.""","""Vek may as well be asleep in the ice."",""A temporary rest for this Vek. Keep it there until we can ensure a rude awakening.""","""The cleanup on these frozen Vek is surprisingly easy."",""I think there'll be a lot of researchers happy to have a fresh sample."",""Cryo-mines, so incredibly effective with few external repercussions.""","""Cryo-mine froze that Vek solid!"",""Didn't think the Vek saw that one coming. Won't see anything coming for a while."""
,Mission_Factory_Destroyed,Bot Factory destroyed,"""Factory down. I'm sure we could have handled the robots, but this expedites things."", ""This wouldn't have happened if the factory was functional."",","""My apologies, but better this than somewhere else."", ""Get your factory in order next time, maybe then we might've managed."",","""We lost the factory. Can't say I'm unhappy with that."", ""Looks like it won't be deploying any more robots."",","""The bot factory was destroyed, it won't produce hostiles anymore."", ""The factory was destroyed. It provided little value, but this corporation won't be pleased.""","""Without the proper maintenance, the factory would never be a worthwhile investment in the first place."", ""They can diagnose the issue afterwards, but they'll pay for their mistakes now."",","""Ah, the factory.. That's not good."", ""It was making defective robots, but we still should have avoided that.""","""Bot factory's gone. Had to be done."",""Factory won't be making any more hostiles.""","""This only expedites matters, as undesirable as it was."", ""Pinnacle's problem now, not ours."",","""Ah, the factory.. That's not good."", ""It was making defective robots, but we still should have avoided that.""","""This factory could have been put to good use. Not a possibility anymore."",""Shame to see this facility's resources put to waste.""","""Sorry, Zenith, but you didn't make things easy for us."",""Truly a loss to have this factory torn down.""","""No more killer bots, oh no, I'm so sad."",""Let's be real, was that factory really such a loss?"""
,Mission_Factory_Spawning,Bot Factory spawning,"""The factory's making more cannon-bots, deal with them."", ""We need to shut down those bots before they overwhelm us, or use them to our advantage.""","""More hostile bots are coming out, watch out."", ""Zenith, this isn't helping. Get them under control.""","""Chrissake, Zenith, put those robots on hold!"", ""Mind putting out something useful for once?"", ""I'll destroy your damn factory if I have to, Zenith."",","""The factory is churning out hostiles again, watch your six."", ""This factory is almost as much of a threat as the Vek are right now."",","""The rate of output this factory boasts is awe-inspiring. If only it made us allies instead of enemies."", ""The factory's directives are corrupted. It knows not who it serves, but it produces nonetheless.""","""Oh no, it's still making robots.."", ""Zenith, please! We can't keep dealing with these robots!""","""Keep those robots in check until we kill off these Vek."",""Don't lose track of those robots.""","""Don't allow the bots to overwhelm us."",""Let's utilize these bots against the Vek, as long as they're here.""","""Oh no, it's still making robots.."", ""Zenith, please! We can't keep dealing with these robots!""","""Those bots are spewing out one after another.."",""Nothing short of amazing how dedicated that factory is to making our lives harder.""","""Killer bots aren't helpful, not in any circumstance."",""Can we get them to take out the Vek? No?"",""I thought Zenith would have this resolved by now..""","""Hey, factory, mind stopping the deluge of killer robots?"",""Did Zenith get the memo? These aren't helping!"",""We need to get rid of these robots, fast."""
,Mission_Reactivation_Thawed,A selection of enemies on the map are freed from ice (might be bots),"""Detecting movement again. Did it break free from the ice?"", ""Detecting movement from that ice, we've got a hostile breaking out!."",","""I was hoping they'd stay frozen. That'd just be too good."", ""Enemies just thawed, watch out."",","""They weren't gonna stay there forever, you'd be foolish to think so."", ""Time to make these hostiles regret emerging from the ice."", ""Hostiles are breaking free, pay attention.""","""Hostiles thawed out, pay attention."", ""Some hostiles just got out of their ice, don't let them get the jump on you."",","""I thought the ice would have lasted longer. Perhaps they have some mechanism to free themselves."", ""The ice didn't keep them under for long."",","""Uh oh... Those enemies just broke free from the ice."", ""Enemies emerging from the ice!""","""Hostile freed itself from the ice."",""Watch yourselves, enemy just emerged from the ice."",""Hostile emerging from that ice.""","""Unfortunate that this one wouldn't stay in the ice any longer."",""We've got more trouble on our hands. Hostile just broke free from the ice.""","""Uh oh... Those enemies just broke free from the ice."", ""Enemies emerging from the ice!""","""More enemies emerging from their icy prisons."",""Looks like some of our opponents have woken up.""","""We couldn't expect those hostiles to stay frozen forever."",""More hostiles just unfroze, let's deal with them quickly."",""A shame freezing them here wasn't a permanent solution.""","""I'll make you wish you'd stayed in the ice!"",""Check those frozen hostiles, looks like a few more are thawing."""
,Mission_SnowStorm_FrozenVek,Snowstorm freezes Vek,"""At this rate, the snowstorm'll freeze that Vek solid."", ""I'm feeling chilly from in this mech, that Vek is definitely going to freeze.""","""That Vek just froze to the storm. Should we leave it there?"", ""Cold just froze the Vek solid, act while we have the initiative.""","""I don't always miss the cold, but I'm glad to have it here now."", ""Toughen up, Vek, if you think you can take my island.""","""Delay attacks towards that Vek, until we can eliminate it cleanly."", ""That Vek's out of the equation, at least for now."",","""It takes some serious chills to freeze an organism that large, in solid ice, no less."", ""The elements have done much of the hard work for us."", ""We should attempt to weaponize a climate like this. It appears it would be a successful directive.""","""That gust just froze that Vek solid!"", ""Of all the reasons to appreciate living on Pinnacle, I wouldn't have thought of the weather.""","""Storm took its toll on the Vek."",""Vek's immobilised from that blizzard."",""The storm has rendered that Vek immobile.""","""Vek got itself frozen. Don't disturb it if you can avoid it."",""Blizzard froze this Vek solid. Good.""","""That gust just froze that Vek solid!"", ""Of all the reasons to appreciate living on Pinnacle, I wouldn't have thought of the weather.""","""Vek down and out, courtesy of the storm."",""Surviving a blizzard isn't easy for anything that large.""","""We've got the initiative, Vek's frozen solid!"",""A less conventional means of defense, freezing your enemies."",""The snowstorm's done us good, that Vek's iced up.""","""Vek on ice, a gift from the island itself."",""Can we attract more Vek into the blizzard and freeze those too?"""
,Mission_SnowStorm_FrozenMech,Snowstorm freezes speaking Mech -- This takes priority if Vek are frozen as well,"""Brr... Looks like I've been hit by the storm."", ""It's cold.. My mech's not responding. Looks like I'm frozen.""","""I'm frozen solid, getting out might take a while."", ""My servos are locked. I'm disabled for now."",""This might keep me safe, but I need to be out there..""","""This again. I'll be frozen for a while."", ""I can get out of this ice myself, focus on your objective #squad."", ""Got myself frozen, but I won't be here for long."",","""My mech will require maintenance to deal with this ice."", ""My mech definitely wasn't designed for these conditions."",","""My mech has succumbed to the cold, or at least my servos have."",""I'm locked in this ice. This will require serious maintenance.""","""Safe and secure in this layer of ice."", ""Mech is safe in this ice, for a little bit."", ""I'm stuck in this ice from the storm, but at least it'll keep me safe.""","""The blizzard rendered my mech immobile."",""Can't move, mech is frosted up from the storm."",""Storm iced my mech.""","""Mech's iced from the snowstorm."",""Overstayed my welcome in the snowstorm, it seems.","""Oh no, this again. I'm trapped in ice!"", ""The ice is supposed to go under my mech, not over it!"", ""I'm stuck in this ice from the storm, but at least it'll keep me safe.""","""Not the optimal temperature for this mech, evidently."",""Didn't think I'd make it through the storm without any frost damage.""","""Couldn't weatherproof against everything, unfortunately."",""At least while I'm here I can study the storm."",""A moment, please, I've been caught in the storm.""","""Uh, I might need a little help. Snowstorm froze me solid!"",""I.. may have stayed in the storm a little too long."""
,BotKilled_Self,Player kills a hostile Bot,"""Shame to put it down, I'd have avoided it if I could."", ""I know this wasn't optimal, but neither was having robots attack us."",","""It was you or them. Target a Vek next time."", ""Damn, I didn't want to do that."",","""Good riddance."", ""Up yours, Zenith."",","""Perhaps a mis-step, but it wasn't my problem to solve in the first place."", ""I couldn't allow this bot to endanger civilian lives any further."",","""To destroy the robot was scarcely more wasteful than to fumble its programming in the first place."", ""The robot could not be allowed to threaten our Grid further."", ""I'd apologize for this turn of events, but I don't suppose we'll recieve one for the defective manufacture.""","""Didn't want to have to put you down..."", ""Poor AI.. We'll have time to fix you when we're not worrying about the Vek.""","""Robot's neutralized. Unfortunate."",""Our AI query was destroyed.""","""Pinnacle gave us orders, but I didn't have much of a choice."",""Shame this had to be, but I can't say I feel particularly sorry either.""","""Didn't want to have to put you down..."", ""Poor AI.. We'll have time to fix you when we're not worrying about the Vek.""","""She made it our problem, and we dealt with it accordingly."",""Shame to lose the AI, but it left us little choice.""","""Sorry about this.. but I've no other options."",""Wouldn't get out of the way, it had to go."",""A great loss, but a necessary one.""","""I mean, it's what you got for threatening these civilians.."",""Bye, bot. Don't attack us next time."""
,BotKilled_Obs,Player is observed to kill a hostile Bot,"""It happens, but we shouldn't have let it shut down."", ""Not registering any more movement from that robot, who shut it down? That violates orders.""","""Fine, but try to avoid it next time."", ""She's not gonna be happy about this, but if it keeps us alive..""","""I'd be lying if I complained."", ""We have our orders, but I'll look away this time."",","""Understandable, but we should have tried to keep that bot alive."", ""Sub-optimal. Perhaps we really could have fixed the robot."",","""We have little to spare. Don't give your grievances for a robot that never helped."", ""A wasteful death, but a necessary one for our greater good."", ""At least we will be able to diagnose the error without the robot threatening us, even if it's post mortem."",","""That robot deserved better.."", ""Such a waste of a robot. Hopefully we don't have to do this again.""","""Lost the robot. Shame."",""Unfortunate that we had to destroy the bot.""","""You violated orders by killing that bot.. but I'll let it slide."",""Was killing that bot necessary? Not that I particularly care.""","""That robot deserved better.."", ""Such a waste of a robot. Hopefully we don't have to do this again.""","""I'll try and help you keep it alive next time."",""I'm sure Zenith will understand. The region was more important.""","""Was that necessary? Could we have done anything to preserve that AI?"",""As great a loss as any other, I hate to say."",""Ah, you've destroyed the AI..""","""Bot's destroyed? There goes our bonus."",""Would have been better to leave that bot alive, like it or not."""
Detritus,," ",,,,,,,,,,,,
,Mission_Disposal_Destroyed,Player was supposed to defend the Disposal unit and it was destroyed -- Shooter could be anyone,"""Not getting signals from the disposal. Was it destroyed?"", ""We've lost the disposal unit, commander.""","""The launcher, its crew.. We weren't fast enough."", ""We couldn't even save the workers.."",","""The launcher was just destroyed!"",  ""The Detritus launcher collapsed, commander.""","""An impressive machine, put to waste. Detritus won't be pleased."", ""Our mission would have been easier with the unit intact.""","""The disposal unit is damaged beyond repair. What will we use to dispose the remains?"", ""The loss of this disposal unit will impact the flow of production quite badly.""","""We lost the the entire disposal unit. There goes this region's waste management."", ""The disposal unit is a wreck itself, now.."",","""Disposal unit damaged beyond repair."",""The unit won't function that badly damaged.""","""Disposal unit went down. That doesn't bode well for this region."",""We could have used that against the Vek, we won't be able to any further.""","""We lost the the entire disposal unit. There goes Pinnacle's waste management."", ""The disposal unit is a wreck itself, now.."",","""This region's processing efficiency will be crippled without that machine."",""We should have another launcher up soon, but it's still quite a loss."",""Vikram won't be pleased, that unit was important.""","""The waste disposal's wrecked, won't be of any more use."",""Doubt the launcher'll be capable of doing anything else now.""","""Commander, we lost the launcher."",""Ah, I hope nobody was in that thing."""
,Mission_Disposal_Activated," Player uses Disposal Unit  -- mass damage","""The Detritus launcher's doing work. Stand clear.."", ""There goes the launcher. Watch out for the A.C.I.D. splash."",","""Disposal unit's finished operating. Disposal was.. successful."", ""The launcher's done. Waste, disposed."",","""Stay clear of that launcher if you want to live."", ""Push the Vek in if you can, but keep your own distance, #squad.""","""An efficient machine. Stay well away from the waste."", ""Push Vek into that waste, if possible."",","""A greater emphasis should be placed on weaponizing A.C.I.D. If only it weren't for the Corporate Accords."", ""Dangerous stuff, this A.C.I.D. Steer clear.""","""Watch out for the A.C.I.D. splash!"", ""That machine is insane!"",","""Vek's been melted by the unit."",""That disposal unit should have the Vek unable to act any further.""","""Stand clear of the launcher, you don't want to be in its way."",""Let that launcher do its thing, stay clear.""","""Watch out for the A.C.I.D. splash!"", ""Holy... That machine is insane!"",","""You won't want to be in that unit's way. Keep your distance."",""That A.C.I.D. will melt your mech away quicker than you can react."",""","""Whatever's caught in that thing's path isn't coming out pretty."",""That unit will dispose of.. well, anything.""","""That's a lot of A.C.I.D!"",""Good thing I'm not standing in front of that disposal unit."""
,Mission_Barrels_Destroyed,A.C.I.D. barrel destroyed (as per mission objectives) -- shooter unclear,"""Those Vek won't last long with that A.C.I.D. released, I'll tell you that first-hand."", ""If the Vek react to A.C.I.D. the same way my eyes do, they won't be around much longer.""","""That's gonna melt whatever's down there."", ""Whatever was below won't stand a chance.""","""The A.C.I.D. was released. Do you hear the Vek melting?"", ""Those bugs won't stand a chance.""","""The Vek will be completely incapable of retaliation after this A.C.I.D. hits them."", ""I can't say I'm fond of chemical warfare, but I'll make an exception this time.""","""Chemistry isn't my area of expertise, but I think it's safe to say whatever's down there..."", ""A whole lot of A.C.I.D., and a whole lot of Vek to melt as well.""","""The vat of A.C.I.D. is spilling into the ground. Let it do its work."", ""Thought you could burrow up? Let's see how you like this.""","""Barrels destroyed. That should be enough."",""We won't have to worry about Vek reinforcements in this region any longer.""","""That's another batch of Vek we won't have to concern ourselves with any further."",""We'll probably see a few dozen Vek melted by the A.C.I.D.""","""The vat of A.C.I.D. is spilling into the ground. Let it do its work."", ""Thought you could burrow up? Let's see how you like this.""","""Those Vek won't come out of this A.C.I.D. attack pretty."",""This will do any Vek underneath us in, for certain."",""Good to see those A.C.I.D. vats put to use.""","""I haven't a clue how much Detritus have destroyed their terrain already.."",""I suppose it doesn't hurt to dump even more A.C.I.D. here..""","""If you listen real close, you might hear a Vek or two melt."",""Guess we can kiss whatever else was under there goodbye."""
